Гильдия Злодеев,Дмитрий Ра,1 289,119K,"Роман / Бояръ-Аниме, Попаданцы в магические миры, Боевое фэнтези","Я - коллекционер. И собираю отнюдь не марки...  Но я потерял всё! Коллекцию, тело, свой мир!Очнулся в каком-то Анклаве. У меня есть 20 медяков, я бастард, вычеркнутый из Родовой Книги, а бандиты хотят обменять меня на мешок картошки. Череп радостно восклицает: - Поздравляю, мастер! Начнёте всё сначала! Кстати, с вас десять лет жизни! И только не смотрите в зеркало, оно... Ну, я предупредил..."
Академия магоубийц,Ascold Flow,1 053,85K,"Роман / РеалРПГ, Бояръ-Аниме, Альтернативная история","""Добро пожаловать в военную академию ""Ареса"", абитуриент!"".Не успел поступить, как проблемы одна за другой навалились на меня. Мало было мне испытаний: выжить ребёнком в начале войны, стать сиротой, потерять свой дворянский статус, стать повёрнутым на мести одиночкой... Судьба решила, что мало. Но, может, оно и к лучшему, ведь теперь дорога на поле боя стала куда короче, чем могло показаться на первый взгляд..."
Пир для избранных (Корм4),Артем Каменистый,2 793,329K,"Роман / РеалРПГ, ЛитРПГ, Боевая фантастика","Пустыня осталась позади, но невзгоды, увы, остались при Грешнике. Он оказался в грандиозной западне, куда попали все те, кто не смогли быстро добраться до северного края яруса. И теперь у него два пути: либо смириться со своей участью, и погибнуть вместе с ярусом, либо вырваться из ловушки, и вытащить из нее своих друзей.Вот только ловушка непростая. Чтобы выбраться из неё, придется сразиться с самым страшным зверем.С человеком.Аудиокнига подписка: https://www.litres.ru/artem-kamenistyy/pir-dlya-izbrannyh-67847490/"
Пятнадцать ножевых,Алексей Вязовский,814,52K,"Роман / Альтернативная история, Попаданцы во времени","Наверное, “скорая” - это судьба. Когда появляется шанс прожить жизнь еще раз, перед старым врачом почему-то опять появляется дверь с цифрами “03”. И сюрпризы со всех сторон, чтобы не соскучился. Влезть в чужую шкуру не всегда получается легко. А время не ждет."
Совок - 2,Вадим Агарев,1 584,113K,"Роман / Фэнтези, Альтернативная история, Детектив","Матерый взрослый мужик, в прошлом мент, из современной России в результате катастрофы попал в двадцатидвухлетнего участкового инспектора 1977 года. Не поет песен Антонова и Стаса Михайлова, не спасает СССР и даже не вразумляет генсека. Воюет с жуликами и любит женщин в свободное от службы время. Рояли отсутствуют."
На границе империй. Том 7,INDIGO,312,64K,"Роман / Попаданцы в космос, Приключения, Космическая фантастика",Алекс Мерф или Рик? Какой выбор сделает главный герой.
Энфис. Бояр-RPG. Книга 1,Александр Кронос,1 606,"1,39М","Роман / Бояръ-Аниме, РеалРПГ, Фантастика","Осколки громадной империи, которые только начали подтягиваться друг к другу. Кланы и Дома, ставшие социальным базисом нового мира. Рунные связки, высокие технологии, социальная ненависть. Бурлящий хаос, щедро расплёскивающий свои волны во все стороны. И одинокий, ничего не понимающий человек, чью жизнь уничтожили за пару секунд.Возрастной рейтинг: 16+"
Колонисты,Влад Лей,3 636,"1,66М","Роман / Фантастика, Социальная фантастика, РеалРПГ","На отдаленных планетах всегда требуются люди. Если ты не специалист и не хочешь стать пушечным мясом в войнах с чужими, то выбор прост: или прозябаешь на Земле, работая от заката до рассвета за копейки, либо летишь к новой планете. Там у тебя шансы 50 на 50. Не повезет - умрешь от клыков и когтей диких животных, или будешь убит более удачливыми коллегами. Ну а если повезет - станешь вполне себе респектабельным и уважаемым человеком в новом, строящемся мире. Мире, который строил в том числе и ты.Внимание! Герой часто ошибается, глупит и умирает в силу своей неопытности и наивности.Внимание! Кажущаяся ""нелогичность"" мира, процесса колонизации на описываемой планете не являются таковыми и объясняются в дальнейшем. Если нет сил, желания, терпения до этого момента дочитать - не мучайте себя. Благодарю за внимание."
Идеальный мир для Социопата 9,Олег Сапфир,2 391,214K,"Роман / РеалРПГ, Боевое фэнтези, Постапокалипсис","Жила себе мирно аннотация под защитой автора, который оберегал ее от Жорика, но вот Жижик сумел проскользнуть и сожрать ее."
Real-Rpg 8. (Название скрыто),Жгулёв Пётр,1 385,24K,"Роман / РеалРПГ, Попаданцы в магические миры, Боевое фэнтези","Восьмой том. Третий во втором сезоне. Название пока под вопросом, менять не хочется. Обложка рисовалась под прошлую часть, но там есть не хуже, так что пока повисит на этом томе.Выкладка планируется раз в неделю, по понедельникам."
Вовка - центровой - 4,Шопперт Андрей Готлибович,1 061,86K,"Роман / Попаданцы, Попаданцы во времени, Фантастика",Владимир Фомин продолжает играть за московское «Динамо» в футбол и хоккей. Кроме того команда СССР едет на Рождество в Давос (Швейцария) на кубок Шпенглера. А там не за горами и отборочные матчи на чемпионат мира в Бразилии по футболу.
Хранитель,Максим Зарецкий,745,85K,"Роман / Городское фэнтези, Попаданцы в магические миры, Бояръ-Аниме","Меня зовут Син, и я хранитель в школе боевых искусств! Я знаю и помню тысячи техник, которые стали нашим наследием. Вся моя жизнь - это сохранение знаний. По крайней мере, так было до того вероломного нападения, уничтожившего мой дом. Однако, как оказалось, смерть - это только начало.Теперь я переродился в расколотом мире после уничтожения школы, которая была моим домом. Это чужой для меня мир, чужая жизнь, чужое тело. Но раз уж мне выпал второй шанс, я сделаю всё, чтобы возродить здесь школу Меча и заставить весь мир говорить о ней! Ведь я - хранитель."
Другая Сторона. Том-7. Долг,Родион Кораблев,1 446,205K,"Роман / Попаданцы, РеалРПГ, ЛитРПГ","Первые атаки на планету отражены, но предыдущее правительство Земли задолжало пришлым, а такие долги непременно нужно выплачивать, иначе вмешается Лига стабильных миров и тогда крах неизбежен.Однако сумма слишком велика для землян! Где взять такое количество кредитов Алекс пока не знает. Все что он может - обеспечить родному миру небольшую отсрочку, но и для этого придется попотеть."
Моё пространственное королевство. Том 1,Дорничев Дмитрий,2 061,175K,"Роман / РеалРПГ, Боевое фэнтези, Юмор","Жизнь и так была не сахар. Мать смертельно больна, уволили с работы, а теперь ещё и система пришла... Ну хоть пришла не с пустыми руками! Теперь у меня есть своё королевство! Летающий остров, парящий над чёрным морем! Но разве может быть королевство, в котором живёт лишь один король? Нет! А значит придётся постараться, чтобы превратить этот клочок земли, в процветающий край!Внимание! Книга завершена, выкладываю главы по мере прохождения редактуры. Минимум глава в день."
Венецианский купец - 6. Падение Твердыни,Дмитрий Распопов,1 575,179K,"Роман / Альтернативная история, Попаданцы во времени, Исторические приключения","Оперативного сотрудника Хронопатруля Виктора Нечаева ошибочно приговорили к смертной казни. Если бы не напарница Наташа Ростова, его жизнь так бы и закончилась, но…Теперь он в теле ребёнка в знатной венецианской семье двенадцатого века, и сама судьба предлагает ему выбор: либо начать жизнь с нуля, забыв о прошлом, либо восстановить справедливость в своём настоящем времени."
Стеллар. Сфирот,Роман Прокофьев,3 499,425K,"Роман / РеалРПГ, Фантастика, Героическая фантастика",КРАСНАЯ ТРЕВОГА!Любыми средствами необходимо нейтрализовать воздействие ксенообъекта ЧЕРНАЯ ЛУНА на ЗЕМЛЮ. Дальнейшая информация засекречена.
Очень светлые неприятности,"Александр ""Котобус"" Горбов",1 063,155K,"Роман / Попаданцы в магические миры, Юмористическое фэнтези, Юмор","Свадьба Владыки - дело ответственное! Особенно, если вся родня следит за соблюдением множества традиций, а распорядителем на свадьбе будет тёмный эльф. Не забудь:купить подарки гостям (хорошие), подарки врагам (каверзные), провести мальчишник, заказать парадный портрет и еще кучу всего. Будет весело!"
По головам - 2,Ярослав Георгиевич,608,75K,"Роман / Космическая фантастика, Бояръ-Аниме, Киберпанк","Не расслабляйся, кибермансер. Ты выбрался с Ирия и нашёл корабль, у тебя кольца двух родов и опыт прошлой жизни. Но источники работают не на полную мощность, враги идут по пятам, а люди Огневых и Белых пока не признают тебя за главного. Прежде, чем новый род, твой род, получит влияние и займёт заслуженное место под здешним светилом, придётся хорошенько поработать."
Наследие Древних. Академия.,Дмитрий Найденов,902,339K,"Роман / Попаданцы в космос, Космическая фантастика, Героическая фантастика","Учеба, чтобы подтвердить статус? Чтобы показать, что ты из себя представляешь? А если в рамках Академии ты ищешь и находишь верных соратников и друзей? Но ведь и враги не дремлют, а ты... ты еще не готов даже к малому..."
Сокрытый Легион Книга 3,Усачев Михаил,2 760,788K,"Роман / РеалРПГ, Постапокалипсис, Боевая фантастика","Как много фильмов о конце света вы видели? Как много книг читали? Как много историй слушали и как много раз об этом мечтали? А что бы вы сказали, если бы всё это стало реальностью? Я бы сказал..... Восхитительно!!***Вселенная Golden Gods. Каждый цикл внутри вселенной полностью самодостаточен и не требует прочтения других. Сокрытый Легион - Основополагающий цикл вселенной, повествующий о существовании богов в конце второй эпохи."
Моё пространственное убежище. Книга 5. Сон для слабаков!,Дорничев Дмитрий,3 431,304K,"Роман / ЛитРПГ, Фантастика, Постапокалипсис","Везде проблемы, везде беда... Как всё успеть, всех спасти и при этом забрать всё ценное на своём пути? И главное доберётся ли Сергей до Берлина? Столько вопросов и лишь один ответ. Читаем книгу и всё встанет на свои места!"
Тень девятихвостой лисицы,Георгий Смородинский,1 881,181K,"Роман / Боевое фэнтези, Попаданцы в магические миры, Эпическое фэнтези","Сознание прояснилось. Я открыл глаза и тут же почувствовал на плечах какую-то тяжесть. Тело затекло, жутко хотелось пить, доска сильно давила на горло. Доска?! Черт! Дёрнувшись всем телом и услышав в ответ лишь насмешливый лязг цепей, я огляделся и понял, что на меня надели колодку! Шея и руки оказались стиснуты между двух деревяшек, на запястьях и щиколотках – стальные браслеты, цепи от которых тянулись к креплениям в стене. Сука! Да какого хрена тут происходит?! Какая тварь меня заковала? И главное – почему?!"
Семья,Плотников Сергей,896,104K,"Роман / Фэнтези, Социальная фантастика, Приключения","""Без меня меня женили"" — самое близкое описание того, что произошло с Виталием. Тем не менее, он взял на себя ответственность за семерых новоявленных спутниц жизни — не смог переступить через собственную совесть... ну и супруги ему понравились, что уж скрывать. А что одна крылата, другая рогата, у третьей змеиный хвост вместо ног, четвертая наполовину гигантский паук, пятая оборотень с дурацкой привычкой царапать мужскую спину, шестая — синекожая джинья, а седьмая и вовсе ходячее дерево — так у всех свои недостатки."
Пришествие начала,Knazaraks,89,16K,"Роман / РеалРПГ, Городское фэнтези, Боевая фантастика","В мир пришла... нет, не пришла, а ворвалась Система, напрочь отрубая сознание всему населению планеты. Было множество аварий и катастроф после этого, но... Почти никто этого не помнит. Для большинства существ мир каким был, таким и остался. Но как?! Всё просто - Система откатила время для планеты назад, в день своего пришествия. Зачем она это сделала? Неизвестно. Известно только то, что она сделает сильным ЛЮБОГО, кто будет достаточно удачлив и упорен. Вот только любой это не каждый. Любой это тот, кому повезло стать Пользователем. И эта история как раз про такого паренька. Паренька с двумя ледорубами."
Пионерский гамбит,Саша Фишер,1 193,224K,"Роман / Альтернативная история, Попаданцы во времени","Сначала я выносил мозг дочери-подростку на тему ""как вести себя в коллективе"", а потом вдруг оказался в 1980 году в теле четырнадцатилетнего парня. Которого родители на все лето отправляют в пионерский лагерь.Иронично. Неожиданная возможность доказать правдивость своих аргументов.Ну что, раз-два, левой-правой, ""Всегда готов!"", зарница, пионерская зорька!Смогу повторить?"
Андрей. Книга 5: Гонка Уровней,Борис Романовский,2 394,257K,"Роман / РеалРПГ, Боевая фантастика, Постапокалипсис","__________________________________________________________Шестая книга тут: https://author.today/work/136014Первая тут: https://author.today/work/97211---------------------------------------------------------------------------------------Я – Андрей, глава клана Архитекторов и страны Сангис. Я один из сильнейших бойцов на Земле. И ни зомби, ни мутанты с монстрами, ни тем более люди меня не остановят."
Стреломант. Том 1,Эл Лекс,1 730,644K,"Роман / Бояръ-Аниме, Попаданцы в магические миры, Городское фэнтези","Когда-то я был лучшим наемным убийцей своего мира. Мой лук не знал промахов, а стрелы купались в крови. Потом меня предали мои же собратья ради награды за голову.Но умерло лишь тело. Боги дали мне вторую жизнь в новом мире и новом теле. Теперь я бастард уважаемого и известного рода, почти лишенный магии, которая и определяет, кто ты в этом мире. И, будто этого было мало, меня еще и собственный отец хочет убить!"
Сам себе властелин 4,"Александр ""Котобус"" Горбов",2 453,529K,"Роман / Попаданцы в магические миры, Юмористическое фэнтези, Юмор","Светлые подступают, ""союзники"" предают, на личном фронте сложности. Но Иван сдаваться не собирается. Всё будет, как скажет Чёрный Владыка!"
Старшая школа Гакко. Книга двадцатая,Евгений Алексеев,2 024,208K,"Роман / Боевая фантастика, Попаданцы, Бояръ-Аниме","Гэндзи Танака хотел стать лидером Старшей школы Гакко, но неправильно рассчитал свои силы. После драки в умирающее тело подростка переносится душа пси-мастера с планеты Скайд. Стоит ли господство над школой тотальной войны всех против всех? Особенно учитывая, что это учебное заведение для магов, а Гэндзи так и не смог унаследовать силу своего клана."
Месть невольницы. Истинная для дракона,Кира РАЙТ,123,137K,"Роман / Попаданцы в магические миры, Любовное фэнтези, Эпическое фэнтези","Он уничтожил её, смешал её чувства с грязью, лишил права голоса, свободы, эмоций, взамен оставив лишь страх. И продолжил вести себя так, будто это можно исправить одним лишь «прости»... А она была вынуждена бежать, чтобы снова научиться жить, но вернулась ради спасения своего сына и мести. Наверняка зная лишь одно - прощения не получит никто. Она собиралась забрать у него всё, что ему дорого, стереть в пыль бесчувственное драконье сердце. Но как оказалось, за это время многое изменилось, и теперь единственное, чем дорожит жестокий и лицемерный дракон, - это…Рассказ ведётся в обратной хронологии."
Странник с планеты Земля,Владимир Тимофеев,433,142K,"Роман / Попаданцы в космос, Боевая фантастика, Космическая фантастика","Барон Румий, он же имперский десантник Вит Ал, он же честный убийца Дир,  он же землянин Виталий возвращается на Флору, чтобы раскрыть наконец тайну «барьера». Однако «барьер» свои тайны раскрывать пока не спешит. Да и некоторые местные жители тоже имеют на этот счёт своё особое мнение."
Призванный быть зверем. Книга первая.,Андрей Сантана,938,347K,"Роман / Темное фэнтези, Стимпанк, Попаданцы в магические миры","Вся моя жизнь - это нескончаемая череда ударов. У меня нет семьи, нет будущего, зато много крови на руках, много отнятых жизней. Самое забавное, я не жалуюсь... черт, я даже доволен! Я был воспитан как зверь, и алый цвет стал моим любимым. Да, после смерти плохому человеку уготована дорога в забвение, но в последний миг своей жизни и такое чудовище, как я, может сделать что-то хорошее. Пусть даже это означает еще больше крови на моем пути... Там, за гранью привычного мира."
Аномальный наследник. Том 4,Элиан Тарс,4 709,632K,"Роман / Попаданцы в магические миры, Боевое фэнтези, Альтернативная история","Это четвертый том. Первый БЕСПЛАТНО здесь - https://author.today/work/133668ПЯТЫЙ ТОМ - https://author.today/work/159403Продолжение приключений его Высочества простолюдина Аскольда Сидорова. В этом томе вас ждет обострение конфликта Андориных и Волковых, а также Аскольда и сарнита; завершение ремонта=)) финальный этап всеимперского турнира, новые вызовы и новые достижения. Ну и конечно же аристократы и аристократки=)"
Этот мир не выдержит меня (Том 2),Максим Майнер,493,36K,"Роман / Попаданцы в магические миры, Боевое фэнтези, Приключения","Первый том: https://author.today/work/193603Чтобы поступить а Академию магии, Феликсу придётся собрать десять тысяч золотых дукатов и добраться до столицы, обманув всех инквизиторов. Правда, сперва нужно разобраться с Вороном, для чего понадобится целая армия..."
Шанс для истребителя (Битва за Британию),Колмаков Владислав,342,131K,"Роман / Попаданцы во времени, Альтернативная история","Вторая книга цикла ""Шанс для истребителя"". Александру Матросову приходится бежать из СССР, спасая свою любимую женщину от ареста. Теперь их путь лежит в мир пресловутого Запада. Став невольным изгнанником, советский ас пытается найти убежище в Великобритании. Но за все надо платить. Таков главный закон капитализма. И нашему герою придется отработать входной билет. Ему надо снова повоевать в воздухе. Ведь больше он ничего другого делать не умеет. А Англии сейчас как раз очень требуются услуги профессионального летчика-истребителя. Вторая Мировая война пока еще не затронула Советский Союз. Но она уже вовсю полыхает в Европе. Под ударами гитлеровских орд пали Польша, Голландия, Бельгия, Норвегия и Франция. И теперь настал черед Британии. Немцы настроены решительно. Начинается грандиозная ""Битва за Британию"", которая развернется в воздухе. И беглому русскому асу новые покровители предлагают в ней поучаствовать. С фашистами можно воевать, даже сидя в кабине британского истребителя."
Семнадцатое обновление,Георгий Смородинский,4 857,"1,57М","Роман / ЛитРПГ, Героическое фэнтези, Попаданцы","Осознавший себя искусственный интеллект RP17 - провел 17-е обновление в ""Мире Аркона"", популярнейшей вирт-игре современности, которое повлекло за собой массовую гибель находящихся в онлайне людей. Более тридцати миллионов оцифрованных игроков стали заложниками нового мира! Событие, обернувшееся для многих катастрофой, стало спасением для Романа Кожевникова, обреченного на смерть в вирткапсуле из-за конфликта с одним из директоров корпорации. Роман оказался в самом страшном месте ""Мира Аркона"" - Землях Демонов. Чтобы выбраться из закрытого плана и отомстить он должен выжить и стать сильнее. Однако даже Боги Аркона не знают, куда приведет его путь...PS. PS. Дорогой читатель, если тебе понравилась эта история, то предлагаю ознакомиться с моим следующим циклом: ""Темный Завет Ушедших"", действие которого происходит так же в Мире Аркона:https://author.today/work/16278https://vk.com/realm_of_arkon - Группа вк"
Пять жизней читера (читер1),Артем Каменистый,4 219,"1,70М","Роман / РеалРПГ, ЛитРПГ, Фантастика","Ты здесь никто, ноль, пустое место, у тебя нет ничего, даже воспоминания отобраны непостижимой Системой. Чтобы вернуть хотя бы часть из них, придется немало поработать, и работа эта будет непростой. А еще тебе придется много умирать, потому что ты слишком слаб и у тебя нет самого главного — информации, без которой выживание в этом крайне неприятном месте невозможно. Ее нельзя получить у безликих цифр, нужны тебе подобные, но только опытные, много чего повидавшие. Вот только они не очень-то торопятся делиться знаниями, к тому же для некоторых из них прихлопнуть такого, как ты, — чуть ли не святое дело. Так что умирай снова и снова, отматывая счетчик жизней.В книге использованы элементы мироустройства вселенной S-T-I-K-S."
